163. Category: Virtual Machines, 		  Name: A4m v2 Low Priority, 		 Rate: 0.158000, 		 Region: EU West 
164. Category: Virtual Machines, 		  Name: DC4s Low Priority, 		 Rate: 0.079100, 		 Region: US East 
165. Category: Virtual Machines, 		  Name: D64 v3/D64s v3 Low Priority, 		 Rate: 0.614000, 		 Region: US East 
166. Category: Virtual Machines, 		  Name: NC24 Low Priority, 		 Rate: 0.720000, 		 Region: US East 
167. Category: Virtual Machines, 		  Name: A7, 		 Rate: 1.200000, 		 Region: US East 2 
168. Category: Virtual Machines, 		  Name: D4 v2/DS4 v2 - Expired, 		 Rate: 1.176000, 		 Region: FR Central 
169. Category: Virtual Machines, 		  Name: F2s v2 Low Priority, 		 Rate: 0.070800, 		 Region: IN West 
170. Category: Virtual Machines, 		  Name: DC2s Low Priority, 		 Rate: 0.051400, 		 Region: EU West 
171. Category: Virtual Machines, 		  Name: E4 v3/E4s v3 Low Priority, 		 Rate: 0.202000, 		 Region: EU West 
172. Category: Virtual Machines, 		  Name: D5 v2/DS5 v2 - Expired, 		 Rate: 2.131000, 		 Region: EU West 
173. Category: Virtual Machines, 		  Name: M32ls, 		 Rate: 2.873000, 		 Region: US East 
174. Category: Virtual Machines, 		  Name: D14/DS14, 		 Rate: 2.447000, 		 Region: AU Southeast 
175. Category: Virtual Machines, 		  Name: L4s Low Priority, 		 Rate: 0.069000, 		 Region: CA Central 
176. Category: Virtual Machines, 		  Name: G5/GS5, 		 Rate: 10.540000, 		 Region: AP Southeast 
177. Category: Virtual Machines, 		  Name: E64 v3/E64s v3 Low Priority, 		 Rate: 0.874000, 		 Region: IN West 
178. Category: Virtual Machines, 		  Name: M32s, 		 Rate: 5.474000, 		 Region: US Gov 
179. Category: Virtual Machines, 		  Name: A4, 		 Rate: 0.464000, 		 Region: AP Southeast 
180. Category: Virtual Machines, 		  Name: F4/F4s Low Priority, 		 Rate: 0.047000, 		 Region: UK West 
181. Category: Virtual Machines, 		  Name: D13 v2/DS13 v2 - Expired, 		 Rate: 0.759000, 		 Region: EU West 
182. Category: Virtual Machines, 		  Name: D12 v2/DS12 v2 Low Priority, 		 Rate: 0.100000, 		 Region: AU Central 2 
183. Category: Virtual Machines, 		  Name: D2 v3/D2s v3, 		 Rate: 0.271250, 		 Region: AU Central 2 
184. Category: Virtual Machines, 		  Name: B1s, 		 Rate: 0.017500, 		 Region: CA East 
185. Category: Virtual Machines, 		  Name: A4 v2 Low Priority, 		 Rate: 0.041000, 		 Region: IN West 
186. Category: Virtual Machines, 		  Name: A5 Low Priority, 		 Rate: 0.050000, 		 Region: US East 
