361,Virtual Machines,F4s v2,0.532724,US Central
362,Virtual Machines,F16/F16s Low Priority,0.223799,KR South
363,Virtual Machines,M32ms Low Priority,1.687692,US East
364,Virtual Machines,A4,1.208240,BR South
365,Virtual Machines,E8 v3/E8s v3 Low Priority,0.160641,US West Central
366,Virtual Machines,F4s v2 Low Priority,0.053822,AP East
367,Virtual Machines,A7 Low Priority,0.296568,AP Southeast
368,Virtual Machines,D2 v2/DS2 v2,0.352861,KR Central
369,Virtual Machines,E2 v3/E2s v3 Low Priority,0.038719,EU North
370,Virtual Machines,D12 v2/DS12 v2,0.509383,US Central
371,Virtual Machines,D3/DS3 Low Priority,0.074142,US East 2
372,Virtual Machines,D2 v3/D2s v3,0.177117,JA West
373,Virtual Machines,D1 v2/DS1 v2 Low Priority,0.076888,US Central
374,Virtual Machines,D12/DS12,0.663159,AP East
375,Virtual Machines,G4/GS4,6.700240,US Gov
376,Virtual Machines,A3,0.399818,FR South
377,Virtual Machines,D8 v3/D8s v3,1.142336,UK South
378,Virtual Machines,B2ms,0.163387,IN West
379,Virtual Machines,M128s Low Priority,5.310764,JA East
380,Virtual Machines,A4 v2,0.304806,FR Central
381,Virtual Machines,F72s v2,4.992228,FR Central
382,Virtual Machines,M32ls Low Priority,0.994047,IN South
383,Virtual Machines,F16/F16s,1.784900,AU Central
384,Virtual Machines,D8 v3/D8s v3 Low Priority,0.464074,US West Central
385,Virtual Machines,A0 Low Priority,0.010984,CA East
386,Virtual Machines,D2 v3/D2s v3 Low Priority,0.032952,EU West
387,Virtual Machines,E2 v3/E2s v3 Low Priority,0.050389,US DoD
388,Virtual Machines,H16r Low Priority,0.623342,EU West
389,Virtual Machines,D14 v2/DS14 v2 - Expired,3.593141,JA East
390,Virtual Machines,A3,0.422884,US Central
391,Virtual Machines,D32 v3/D32s v3,2.767968,US Gov AZ
392,Virtual Machines,M64s Low Priority,2.655382,AU Southeast
393,Virtual Machines,A8m v2 Low Priority,0.849612,FR South
394,Virtual Machines,A2,0.153776,BR South
395,Virtual Machines,D11 v2/DS11 v2 - Expired,0.549200,FR South
396,Virtual Machines,F1/F1s Low Priority,0.013730,US West 2
